Shape,Cut,Color,Clarity,Carat,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Length,Width,Height,Price,Type,price_category,price_category_encoded,Cut_encoded,Color_encoded,Clarity_encoded,Polish_encoded,Symmetry_encoded,Girdle_encoded,Carat_category,Carat_category_encoded
Princess,Ideal,H,VVS2,1.0,1.0,74.5,64.0,Excellent,Excellent,Slightly Thick to Thick,5.47,5.47,4.07,2770,GIA,medium,3,5,3,6,4.0,4.0,5.5,extra small,2
Princess,Ideal,E,VVS2,1.04,1.0,70.3,68.0,Excellent,Excellent,Medium,5.54,5.52,3.88,1210,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Cushion,Ideal,D,VS1,2.53,1.02,65.7,64.0,Excellent,Excellent,Medium to Slightly Thick,8.01,7.85,5.16,4460,IGI Lab-Grown,high,4,5,7,5,4.0,4.0,4.5,extra large,6
Round,Ideal,E,VS1,1.58,1.01,61.2,57.0,Excellent,Excellent,Medium,7.47,7.52,4.59,1840,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Round,Very Good,H,VS1,1.0,1.01,64.8,56.0,Excellent,Very Good,Medium to Thick,6.18,6.25,4.02,3520,GIA,medium,3,3,3,5,4.0,3.0,5.0,extra small,2
Round,Excellent,F,VS1,1.59,1.0,62.3,57.0,Excellent,Excellent,Medium,7.47,7.49,4.66,3520,GIA Lab-Grown,medium,3,4,5,5,4.0,4.0,4.0,medium,4
Cushion Modified,Very Good,H,VS2,1.01,1.22,68.5,61.0,Excellent,Excellent,Thin to Slightly Thick,6.61,5.42,3.71,2480,GIA,medium,3,3,3,4,4.0,4.0,4.0,small,3
Cushion Modified,Ideal,H,VS1,1.0,1.04,65.7,64.0,Excellent,Very Good,Medium to Slightly Thick,5.9,5.67,3.73,2420,GIA,medium,3,5,3,5,4.0,3.0,4.5,extra small,2
Round,Very Good,F,VS2,1.0,1.02,61.2,62.0,Good,Good,Medium to Thick,6.34,6.46,3.91,4130,GIA,high,4,3,5,4,2.0,2.0,5.0,extra small,2
Round,Excellent,E,VS1,1.55,1.01,61.3,57.0,Excellent,Excellent,Medium to Slightly Thick,7.42,7.46,4.56,1770,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,E,VS1,1.58,1.0,62.0,57.0,Excellent,Excellent,Medium,7.47,7.49,4.64,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,E,VS1,1.11,1.03,71.4,67.0,Excellent,Excellent,Medium,5.83,5.67,4.05,1100,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Cushion Modified,Ideal,F,VS1,2.03,1.01,65.9,62.0,Excellent,Excellent,Thick,7.38,7.32,4.82,4840,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,6.0,large,5
Cushion Modified,Ideal,E,VVS2,2.21,1.01,67.5,61.0,Excellent,Excellent,Slightly Thick to Thick,7.51,7.47,5.04,3950,GIA Lab-Grown,high,4,5,6,6,4.0,4.0,5.5,large,5
Round,Very Good,H,VS2,1.0,1.01,64.6,55.0,Excellent,Very Good,Slightly Thick to Thick,6.18,6.27,4.02,3610,GIA,medium,3,3,3,4,4.0,3.0,5.5,extra small,2
Round,Ideal,D,VS1,1.58,1.0,61.0,59.0,Excellent,Excellent,Medium,7.48,7.51,4.57,1850,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Cushion,Ideal,E,VS1,2.05,1.0,67.3,62.0,Excellent,Excellent,Medium to Slightly Thick,7.31,7.3,4.91,3080,IGI Lab-Grown,medium,3,5,6,5,4.0,4.0,4.5,large,5
Round,Very Good,G,VS2,1.0,1.01,64.9,58.0,Excellent,Very Good,Slightly Thick to Thick,6.22,6.28,4.06,3580,GIA,medium,3,3,4,4,4.0,3.0,5.5,extra small,2
Princess,Ideal,E,VS2,1.01,1.02,73.3,74.0,Very Good,Very Good,Medium to Slightly Thick,5.64,5.53,4.05,4110,GIA,high,4,5,6,4,3.0,3.0,4.5,small,3
Princess,Ideal,D,VS1,1.08,1.01,72.1,67.0,Excellent,Excellent,Slightly Thick to Thick,5.62,5.54,3.99,1160,GIA Lab-Grown,low,2,5,7,5,4.0,4.0,5.5,small,3
Round,Ideal,E,VS1,1.58,1.01,61.0,58.0,Excellent,Excellent,Thin to Medium,7.48,7.52,4.58,1840,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,3.5,medium,4
Round,Excellent,D,VS1,1.59,1.0,60.7,59.0,Excellent,Excellent,Medium,7.51,7.54,4.57,1860,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.0,medium,4
Cushion Modified,Ideal,F,VS1,2.51,1.01,65.7,60.0,Excellent,Excellent,Slightly Thick to Thick,7.98,7.87,5.17,5880,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,5.5,extra large,6
Round,Excellent,H,VS2,1.0,1.01,62.9,57.0,Excellent,Very Good,Thin to Slightly Thick,6.29,6.37,3.98,3680,GIA,medium,3,4,3,4,4.0,3.0,4.0,extra small,2
Cushion Modified,Very Good,H,VVS1,1.01,1.08,69.1,62.0,Excellent,Very Good,Medium to Thick,5.89,5.43,3.75,2310,GIA,low,2,3,3,7,4.0,3.0,5.0,small,3
Round,Excellent,E,VS1,1.59,1.01,61.5,56.0,Excellent,Excellent,Medium,7.48,7.53,4.62,1810,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,D,VS1,1.56,1.0,61.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.43,7.44,4.58,1830,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,G,VVS2,1.02,1.0,71.7,73.0,Excellent,Excellent,Medium to Slightly Thick,5.47,5.45,3.91,3470,GIA,medium,3,5,4,6,4.0,4.0,4.5,small,3
Princess,Ideal,E,VS1,1.15,1.02,71.6,67.0,Excellent,Excellent,Medium to Slightly Thick,5.83,5.7,4.08,1140,GIA Lab-Grown,very low,1,5,6,5,4.0,4.0,4.5,small,3
Princess,Ideal,E,VVS2,1.01,1.0,74.2,69.0,Excellent,Excellent,Medium to Slightly Thick,5.34,5.32,3.95,1180,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.5,small,3
Round,Very Good,H,VS2,1.0,1.01,63.6,59.0,Excellent,Very Good,Medium to Thick,6.25,6.29,3.99,3320,GIA,medium,3,3,3,4,4.0,3.0,5.0,extra small,2
Cushion,Ideal,D,VS1,1.92,1.02,66.3,63.0,Excellent,Excellent,Medium to Slightly Thick,7.33,7.2,4.77,5340,IGI Lab-Grown,very high,5,5,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,G,VVS2,1.0,1.01,74.2,71.0,Excellent,Excellent,Slightly Thick to Thick,5.5,5.42,4.02,5340,GIA,very high,5,5,4,6,4.0,4.0,5.5,extra small,2
Round,Very Good,H,VS1,1.01,1.01,64.4,57.0,Excellent,Very Good,Slightly Thick to Thick,6.21,6.29,4.02,4200,GIA,high,4,3,3,5,4.0,3.0,5.5,small,3
Round,Excellent,H,VS1,1.0,1.01,61.8,56.0,Excellent,Very Good,Slightly Thick,6.33,6.4,3.93,3600,GIA,medium,3,4,3,5,4.0,3.0,5.0,extra small,2
Cushion Modified,Ideal,E,VS1,3.06,1.01,66.0,63.0,Excellent,Excellent,Medium to Slightly Thick,8.48,8.43,5.56,6660,GIA Lab-Grown,very high,5,5,6,5,4.0,4.0,4.5,ultra large (3+),7
Princess,Ideal,D,VS1,1.06,1.01,71.6,70.0,Excellent,Excellent,Slightly Thick,5.53,5.46,3.91,1140,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,5.0,small,3
Princess,Ideal,F,VVS2,1.0,1.03,72.2,75.0,Excellent,Very Good,Thick to Very Thick,5.61,5.45,3.94,3670,GIA,medium,3,5,5,6,4.0,3.0,6.5,extra small,2
Princess,Ideal,D,VS2,1.0,1.03,69.5,75.0,Excellent,Very Good,Medium to Thick,5.75,5.58,3.88,3890,GIA,high,4,5,7,4,4.0,3.0,5.0,extra small,2
Round,Excellent,E,VS1,1.52,1.0,61.7,57.0,Excellent,Excellent,Medium to Slightly Thick,7.34,7.36,4.54,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,D,VVS1,2.69,1.01,65.7,60.0,Excellent,Excellent,Slightly Thick to Thick,7.9,7.81,5.13,6360,GIA Lab-Grown,very high,5,5,7,7,4.0,4.0,5.5,extra large,6
Princess,Ideal,D,VS1,1.04,1.01,72.8,68.0,Excellent,Excellent,Medium to Thick,5.54,5.46,3.98,1120,GIA Lab-Grown,very low,1,5,7,5,4.0,4.0,5.0,small,3
Princess,Ideal,E,VS1,1.24,1.01,71.0,70.0,Excellent,Excellent,Medium,5.83,5.8,4.12,1210,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,small,3
Round,Very Good,G,VS2,1.0,1.01,64.8,59.0,Very Good,Excellent,Medium to Thick,6.17,6.21,4.01,3970,GIA,high,4,3,4,4,3.0,4.0,5.0,extra small,2
Princess,Ideal,G,VVS2,1.01,1.01,71.8,71.0,Excellent,Excellent,Slightly Thick to Thick,5.48,5.44,3.91,3480,GIA,medium,3,5,4,6,4.0,4.0,5.5,small,3
Cushion,Ideal,E,VS1,2.03,1.05,66.5,58.0,Excellent,Excellent,Slightly Thick to Very Thick,7.58,7.23,4.81,3050,IGI Lab-Grown,medium,3,5,6,5,4.0,4.0,6.5,large,5
Princess,Ideal,D,VS1,1.07,1.03,69.4,64.0,Excellent,Excellent,Medium,5.82,5.66,3.93,1150,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Cushion,Ideal,E,VS1,2.74,1.01,67.8,63.0,Excellent,Excellent,Medium to Slightly Thick,8.13,8.08,5.48,4410,IGI Lab-Grown,high,4,5,6,5,4.0,4.0,4.5,extra large,6
Round,Excellent,H,VS1,1.01,1.0,61.3,59.0,Excellent,Excellent,Slightly Thick,6.41,6.44,3.94,4120,GIA,high,4,4,3,5,4.0,4.0,5.0,small,3
Round,Very Good,H,VS1,1.0,1.0,63.8,60.0,Excellent,Excellent,Slightly Thick to Thick,6.26,6.29,4.0,4150,GIA,high,4,3,3,5,4.0,4.0,5.5,extra small,2
Cushion Modified,Ideal,H,VS1,1.0,1.04,71.2,58.0,Excellent,Very Good,Slightly Thick to Very Thick,5.59,5.39,3.84,2240,GIA,low,2,5,3,5,4.0,3.0,6.5,extra small,2
Cushion Modified,Ideal,D,VVS1,1.9,1.01,65.1,61.0,Excellent,Excellent,Medium to Thick,7.12,7.07,4.61,4350,GIA Lab-Grown,high,4,5,7,7,4.0,4.0,5.0,medium,4
Princess,Ideal,D,VS1,1.05,1.0,73.4,73.0,Excellent,Excellent,Medium,5.48,5.46,4.01,1130,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Round,Excellent,D,VS1,1.55,1.0,61.4,57.0,Excellent,Excellent,Medium to Slightly Thick,7.43,7.45,4.57,1810,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,G,VVS1,1.11,1.0,74.8,70.0,Excellent,Very Good,Very Thick,5.5,5.49,4.1,4180,GIA,high,4,5,4,7,4.0,3.0,7.0,small,3
Round,Excellent,H,VS1,1.01,1.0,63.3,57.0,Excellent,Excellent,Medium to Slightly Thick,6.34,6.37,4.03,3740,GIA,medium,3,4,3,5,4.0,4.0,4.5,small,3
Round,Excellent,D,VS1,1.51,1.01,62.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.31,7.35,4.59,1770,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Round,Excellent,E,VS1,1.58,1.0,61.6,57.0,Excellent,Excellent,Medium to Slightly Thick,7.47,7.49,4.6,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Very Good,H,VS2,1.01,1.11,67.5,69.0,Excellent,Excellent,Medium to Slightly Thick,6.29,5.69,3.84,2350,GIA,low,2,3,3,4,4.0,4.0,4.5,small,3
Cushion Modified,Ideal,F,VS1,2.81,1.01,66.7,62.0,Excellent,Excellent,Slightly Thick to Thick,8.18,8.13,5.42,6580,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,5.5,extra large,6
Cushion Modified,Ideal,E,IF,1.06,1.0,63.5,61.0,Excellent,Excellent,Medium to Thick,5.9,5.89,3.74,3330,GIA Lab-Grown,medium,3,5,6,8,4.0,4.0,5.0,small,3
Round,Very Good,H,VVS1,1.0,1.01,64.4,58.0,Excellent,Very Good,Thick,6.14,6.22,3.98,3720,GIA,medium,3,3,3,7,4.0,3.0,6.0,extra small,2
Princess,Ideal,F,VS1,1.09,1.01,70.7,69.0,Excellent,Excellent,Medium,5.64,5.59,3.95,1070,IGI Lab-Grown,very low,1,5,5,5,4.0,4.0,4.0,small,3
Cushion Modified,Ideal,D,VVS1,2.13,1.03,68.4,60.0,Excellent,Excellent,Slightly Thick to Very Thick,7.41,7.19,4.92,4730,GIA Lab-Grown,very high,5,5,7,7,4.0,4.0,6.5,large,5
Princess,Ideal,F,VS1,1.04,1.01,72.3,68.0,Excellent,Excellent,Slightly Thick to Thick,5.6,5.52,3.99,1030,GIA Lab-Grown,very low,1,5,5,5,4.0,4.0,5.5,small,3
Round,Excellent,H,VS1,1.0,1.01,63.4,56.0,Excellent,Excellent,Medium to Slightly Thick,6.3,6.35,4.01,3710,GIA,medium,3,4,3,5,4.0,4.0,4.5,extra small,2
Princess,Very Good,H,VS1,1.01,1.04,75.6,70.0,Excellent,Good,Thin to Very Thick,5.59,5.4,4.08,2710,GIA,medium,3,3,3,5,4.0,2.0,5.5,small,3
Round,Excellent,E,VS1,1.52,1.0,61.1,58.0,Excellent,Excellent,Medium to Slightly Thick,7.38,7.4,4.52,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Very Good,H,VS1,1.0,1.0,60.4,62.0,Excellent,Excellent,Slightly Thick,6.41,6.43,3.88,4130,GIA,high,4,3,3,5,4.0,4.0,5.0,extra small,2
Princess,Ideal,E,VS1,1.13,1.0,71.0,66.0,Excellent,Excellent,Thick,5.73,5.72,4.06,1120,GIA Lab-Grown,very low,1,5,6,5,4.0,4.0,6.0,small,3
Round,Ideal,D,VS1,1.51,1.0,61.1,56.0,Excellent,Excellent,Thin to Medium,7.4,7.42,4.53,1770,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,3.5,medium,4
Princess,Ideal,H,VVS1,1.05,1.01,70.7,73.0,Excellent,Excellent,Slightly Thick to Thick,5.72,5.68,4.02,3340,GIA,medium,3,5,3,7,4.0,4.0,5.5,small,3
Cushion Modified,Ideal,E,VVS1,2.02,1.02,68.2,62.0,Excellent,Excellent,Slightly Thick to Thick,7.22,7.05,4.81,3890,GIA Lab-Grown,high,4,5,6,7,4.0,4.0,5.5,large,5
Round,Very Good,H,VS2,1.0,1.01,61.9,59.0,Excellent,Good,Slightly Thick to Thick,6.28,6.35,3.9,3080,GIA,medium,3,3,3,4,4.0,2.0,5.5,extra small,2
Round,Excellent,E,VS1,1.59,1.01,62.2,58.0,Excellent,Excellent,Medium to Slightly Thick,7.41,7.46,4.63,1810,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,E,VS1,1.52,1.0,61.5,57.0,Excellent,Excellent,Medium,7.4,7.41,4.55,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Cushion Modified,Ideal,E,VVS2,1.71,1.03,68.9,58.0,Excellent,Excellent,Slightly Thick to Thick,6.85,6.68,4.6,2770,GIA Lab-Grown,medium,3,5,6,6,4.0,4.0,5.5,medium,4
Princess,Ideal,D,VS1,1.05,1.01,69.6,69.0,Excellent,Excellent,Medium,5.57,5.5,3.83,1130,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,small,3
Round,Excellent,E,VS1,1.53,1.01,61.4,58.0,Excellent,Excellent,Medium to Slightly Thick,7.38,7.43,4.55,1740,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Princess,Ideal,F,VVS2,1.01,1.0,73.7,70.0,Excellent,Excellent,Slightly Thick to Thick,5.37,5.35,3.95,3640,GIA,medium,3,5,5,6,4.0,4.0,5.5,small,3
Princess,Ideal,H,VVS1,1.01,1.01,71.4,71.0,Excellent,Very Good,Slightly Thick,5.69,5.64,4.03,3030,GIA,medium,3,5,3,7,4.0,3.0,5.0,small,3
Cushion Modified,Ideal,D,VVS2,2.09,1.02,67.0,60.0,Excellent,Excellent,Slightly Thick to Thick,7.28,7.16,4.8,4420,GIA Lab-Grown,high,4,5,7,6,4.0,4.0,5.5,large,5
Cushion Modified,Ideal,D,VVS1,1.03,1.03,65.3,58.0,Excellent,Excellent,Medium to Slightly Thick,5.89,5.7,3.72,2490,IGI Lab-Grown,medium,3,5,7,7,4.0,4.0,4.5,small,3
Princess,Ideal,G,VVS2,1.02,1.02,72.8,72.0,Excellent,Excellent,Slightly Thick to Thick,5.54,5.44,3.96,3360,GIA,medium,3,5,4,6,4.0,4.0,5.5,small,3
Princess,Ideal,G,VS1,1.01,1.01,70.4,74.0,Excellent,Very Good,Thin to Slightly Thick,5.69,5.65,3.98,4180,GIA,high,4,5,4,5,4.0,3.0,4.0,small,3
Round,Very Good,H,VVS2,1.03,1.01,63.9,59.0,Excellent,Very Good,Slightly Thick to Thick,6.24,6.33,4.02,3950,GIA,high,4,3,3,6,4.0,3.0,5.5,small,3
Round,Excellent,D,VS1,1.58,1.0,61.1,58.0,Excellent,Excellent,Thin to Medium,7.49,7.52,4.59,1850,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,3.5,medium,4
Princess,Ideal,H,VS2,1.01,1.02,72.4,74.0,Excellent,Very Good,Thick to Very Thick,5.5,5.37,3.89,2620,GIA,medium,3,5,3,4,4.0,3.0,6.5,small,3
Round,Excellent,D,VS1,1.59,1.0,61.7,56.0,Excellent,Excellent,Medium to Slightly Thick,7.48,7.51,4.63,1860,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Princess,Ideal,H,VVS1,1.04,1.0,71.3,68.0,Excellent,Excellent,Thick,5.52,5.51,3.93,3360,GIA,medium,3,5,3,7,4.0,4.0,6.0,small,3
Princess,Ideal,H,VS2,1.21,1.01,74.5,74.0,Excellent,Very Good,Thick to Very Thick,5.71,5.66,4.22,3590,GIA,medium,3,5,3,4,4.0,3.0,6.5,small,3
Princess,Ideal,D,VS1,1.0,1.02,73.3,67.0,Excellent,Excellent,Medium,5.34,5.25,3.85,1080,IGI Lab-Grown,very low,1,5,7,5,4.0,4.0,4.0,extra small,2
Round,Excellent,E,VS1,1.54,1.01,61.7,56.0,Excellent,Excellent,Thin to Medium,7.41,7.45,4.58,1760,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,3.5,medium,4
Round,Excellent,H,VS1,1.0,1.01,63.7,56.0,Excellent,Excellent,Medium to Slightly Thick,6.29,6.33,4.02,4140,GIA,high,4,4,3,5,4.0,4.0,4.5,extra small,2
Princess,Ideal,E,VS1,1.01,1.01,71.4,71.0,Excellent,Excellent,Medium,5.61,5.53,3.95,4210,GIA,high,4,5,6,5,4.0,4.0,4.0,small,3
Round,Excellent,E,VS1,1.52,1.0,61.0,61.0,Excellent,Excellent,Medium to Slightly Thick,7.39,7.41,4.52,1730,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Cushion Modified,Ideal,F,VS1,2.86,1.02,66.7,62.0,Excellent,Excellent,Thick,8.25,8.08,5.39,6700,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,6.0,extra large,6
Round,Excellent,E,VS1,1.53,1.0,62.2,57.0,Excellent,Excellent,Medium,7.36,7.39,4.59,1740,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,D,VS1,1.52,1.0,59.8,61.0,Excellent,Excellent,Medium to Slightly Thick,7.46,7.48,4.47,1780,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,4.5,medium,4
Round,Excellent,E,VS1,1.58,1.0,60.7,59.0,Excellent,Excellent,Medium to Slightly Thick,7.5,7.52,4.56,1800,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,4.5,medium,4
Round,Excellent,H,VS2,1.01,1.01,62.5,56.0,Excellent,Excellent,Medium to Slightly Thick,6.39,6.43,4.01,4010,GIA,high,4,4,3,4,4.0,4.0,4.5,small,3
Princess,Ideal,G,VS2,1.2,1.01,73.8,75.0,Excellent,Excellent,Slightly Thick to Thick,5.8,5.77,4.26,4090,GIA,high,4,5,4,4,4.0,4.0,5.5,small,3
Princess,Ideal,F,VVS2,1.09,1.02,73.8,70.0,Excellent,Excellent,Medium,5.62,5.53,4.08,1210,IGI Lab-Grown,low,2,5,5,6,4.0,4.0,4.0,small,3
Princess,Ideal,F,VVS2,1.0,1.05,73.7,68.0,Excellent,Excellent,Medium,5.62,5.36,3.95,1120,IGI Lab-Grown,very low,1,5,5,6,4.0,4.0,4.0,extra small,2
